"Client","Application","Version","Environment","DeploymentStatus","DeploymentStartDateTime","DeploymentEndDateTime","TriggeredBy","ActionRunUrl"
"BAIN","Recon","2.26.0626.598","UAT","Failed","2026-06-26 17:48:35 UTC","2026-06-26 17:48:35 UTC","MeghaPerumal",""
"BAIN","Recon","2.26.0626.598","UAT","Succeeded","2026-06-26 17:56:23 UTC","2026-06-26 17:56:23 UTC","MeghaPerumal",""
"MASH","Recon","2.26.0623.582","UAT","2.26.0703.45","2026-06-30 11:48:26 UTC","2026-06-30 11:48:26 UTC","github-actions[bot]",""
"QRMO","Recon","2.26.0629.605","UAT","Succeeded","2026-07-01 17:16:12 UTC","2026-07-01 17:16:12 UTC","ajoshi-lds","https://github.com/LD-Global-Services/Deployment/actions/runs/28534302438"
"DKCM","Recon","2.26.0629.605","UAT","Succeeded","2026-07-01 17:44:44 UTC","2026-07-01 17:44:44 UTC","ajoshi-lds","https://github.com/LD-Global-Services/Deployment/actions/runs/28535995333"
"KLIM","Recon","2.26.0629.605","UAT","Succeeded","2026-07-01 17:59:02 UTC","2026-07-01 17:59:02 UTC","ajoshi-lds","https://github.com/LD-Global-Services/Deployment/actions/runs/28536786223"
"MASH","Recon","2.26.0629.605","UAT","InProgress","2026-07-07 09:13:35 UTC","","github-actions[bot]","https://github.com/LD-Global-Services/Deployment/actions/runs/28855083151"
"BAIN","Recon","2.26.0629.605","UAT","Succeeded","2026-07-02 17:34:54 UTC","2026-07-02 17:47:25 UTC","github-actions[bot]","https://github.com/LD-Global-Services/Deployment/actions/runs/28609568259"
"KLIM","Recon","2.26.0629.605","UAT","Succeeded","2026-07-01 19:35:20 UTC","2026-07-01 19:35:20 UTC","ajoshi-lds","https://github.com/LD-Global-Services/Deployment/actions/runs/28542000102"
"MASH","Recon","2.26.0629.605","UAT","Approval Pending","2026-07-07 06:35:24 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28846633833"
"MASH","Recon","2.26.0629.605","UAT","Approved","2026-07-07 06:37:34 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28846633833"
